,word,len,freq,pron,phlen,orthsyl,ortho,phono
1,abacus,6,8,{b@k@s,6,ab-a-cus,True,True
2,abaft,5,2,@bAft,5,a-baft,True,True
3,abandon,7,295,@b{nd@n,7,a-ban-don,True,True
4,abandoned,9,645,@b{nd@nd,8,a-ban-doned,True,True
5,abandoning,10,79,@b{nd@nIN,9,a-ban-don-ing,True,True
6,abandonment,11,94,@b{nd@nm@nt,11,a-ban-don-ment,True,True
7,abandons,8,16,@b{nd@nz,8,a-ban-dons,True,True
8,abasement,9,6,@beIsm@nt,9,a-base-ment,True,True
9,abases,6,1,@beIsIz,7,a-bas-es,True,True
10,abashed,7,15,@b{St,5,a-bashed,True,True
11,abasing,7,1,@beIsIN,7,a-bas-ing,True,True
12,abate,5,8,@beIt,5,a-bate,True,True
13,abated,6,25,@beItId,7,a-bat-ed,True,True
15,abates,6,3,@beIts,6,a-bates,True,True
16,abating,7,6,@beItIN,7,a-bat-ing,True,True
17,abattoir,8,15,{b@twAr,7,ab-at-toir,True,True
18,abattoirs,9,13,{b@twAz,7,ab-at-toirs,True,True
19,abbe,4,14,{beI,4,ab-be,True,True
20,abbess,6,52,{bEs,4,ab-bess,True,True
22,abbeys,6,5,{bIz,4,ab-beys,True,True
23,abbot,5,34,{b@t,4,ab-bot,True,True
24,abbots,6,9,{b@ts,5,ab-bots,True,True
25,abbreviate,10,4,@brivIeIt,9,ab-bre-vi-ate,True,True
26,abbreviated,11,30,@brivIeItId,11,ab-bre-vi-at-ed,True,True
27,abbreviating,12,1,@brivIeItIN,11,ab-bre-vi-at-ing,True,True
28,abbreviation,12,12,@brivIeISn,10,ab-bre-vi-a-tion,True,True
29,abbreviations,13,2,@brivIeISnz,11,ab-bre-vi-a-tions,True,True
30,abcs,4,1,eIbisiz,7,ABCs,True,True
31,abdicate,8,16,{bdIkeIt,8,ab-di-cate,True,True
32,abdicated,9,15,{bdIkeItId,10,ab-di-cat-ed,True,True
33,abdicates,9,1,{bdIkeIts,9,ab-di-cates,True,True
34,abdicating,10,8,{bdIkeItIN,10,ab-di-cat-ing,True,True
35,abdication,10,34,{bdIkeISn,9,ab-di-ca-tion,True,True
36,abdomen,7,110,{bd@mEn,7,ab-do-men,True,True
