orig_idx,word,freq,pron,orthsyl,phonsyl,len,phlen
0,aback,59,@b{k,a-back,@-b{k,5,4
1,abacus,8,{b@k@s,ab-a-cus,{-b@-k@s,6,6
2,abaft,2,@bAft,a-baft,@-bAft,5,5
3,abandon,295,@b{nd@n,a-ban-don,@-b{n-d@n,7,7
8,abandoned,645,@b{nd@nd,a-ban-doned,@-b{n-d@nd,9,8
14,abandoning,79,@b{nd@nIN,a-ban-don-ing,@-b{n-d@-nIN,10,9
15,abandonment,94,@b{nd@nm@nt,a-ban-don-ment,@-b{n-d@n-m@nt,11,11
16,abandons,16,@b{nd@nz,a-ban-dons,@-b{n-d@nz,8,8
17,abasement,6,@beIsm@nt,a-base-ment,@-beIs-m@nt,9,9
18,abases,1,@beIsIz,a-bas-es,@-beI-sIz,6,7
19,abashed,15,@b{St,a-bashed,@-b{St,7,5
24,abasing,1,@beIsIN,a-bas-ing,@-beI-sIN,7,7
25,abate,8,@beIt,a-bate,@-beIt,5,5
29,abated,25,@beItId,a-bat-ed,@-beI-tId,6,7
34,abatement,13,@beItm@nt,a-bate-ment,@-beIt-m@nt,9,9
35,abates,3,@beIts,a-bates,@-beIts,6,6
36,abating,6,@beItIN,a-bat-ing,@-beI-tIN,7,7
37,abattoir,15,{b@twAr,ab-at-toir,{-b@-twAr,8,7
38,abattoirs,13,{b@twAz,ab-at-toirs,{-b@-twAz,9,7
39,abbe,14,{beI,ab-be,{-beI,4,4
40,abbess,52,{bEs,ab-bess,{-bEs,6,4
41,abbey,176,{bI,ab-bey,{-bI,5,3
42,abbeys,5,{bIz,ab-beys,{-bIz,6,4
43,abbot,34,{b@t,ab-bot,{-b@t,5,4
44,abbots,9,{b@ts,ab-bots,{-b@ts,6,5
45,abbreviate,4,@brivIeIt,ab-bre-vi-ate,@-bri-vI-eIt,10,9
49,abbreviated,30,@brivIeItId,ab-bre-vi-at-ed,@-bri-vI-eI-tId,11,11
54,abbreviating,1,@brivIeItIN,ab-bre-vi-at-ing,@-bri-vI-eI-tIN,12,11
55,abbreviation,12,@brivIeISn,ab-bre-vi-a-tion,@-bri-vI-eI-Sn,12,10
56,abbreviations,2,@brivIeISnz,ab-bre-vi-a-tions,@-bri-vI-eI-Snz,13,11
57,abcs,1,eIbisiz,ABCs,eI-bi-siz,4,7
58,abdicate,16,{bdIkeIt,ab-di-cate,{b-dI-keIt,8,8
62,abdicated,15,{bdIkeItId,ab-di-cat-ed,{b-dI-keI-tId,9,10
67,abdicates,1,{bdIkeIts,ab-di-cates,{b-dI-keIts,9,9
68,abdicating,8,{bdIkeItIN,ab-di-cat-ing,{b-dI-keI-tIN,10,10
69,abdication,34,{bdIkeISn,ab-di-ca-tion,{b-dI-keI-Sn,10,9
70,abdomen,110,{bd@mEn,ab-do-men,{b-d@-mEn,7,7
71,abdomens,4,{bd@mEnz,ab-do-mens,{b-d@-mEnz,8,8
72,abdominal,126,{bdQmInl,ab-dom-i-nal,{b-dQ-mI-nl,9,8
73,abduct,4,@bdVkt,ab-duct,@b-dVkt,6,6
77,abducted,10,@bdVktId,ab-duct-ed,@b-dVk-tId,8,8
82,abducting,5,@bdVktIN,ab-duct-ing,@b-dVk-tIN,9,8
83,abduction,10,{bdVkSn,ab-duc-tion,{b-dVk-Sn,9,7
84,abductions,1,{bdVkSnz,ab-duc-tions,{b-dVk-Snz,10,8
85,abed,4,@bEd,a-bed,@-bEd,4,4
86,aberrant,11,{bEr@nt,ab-er-rant,{-bE-r@nt,8,7
87,aberration,32,{b@reISn,ab-er-ra-tion,{-b@-reI-Sn,10,8
88,aberrations,18,{b@reISnz,ab-er-ra-tions,{-b@-reI-Snz,11,9
89,abet,4,@bEt,a-bet,@-bEt,4,4
93,abets,2,@bEts,a-bets,@-bEts,5,5
